id;title;address;zip;type;icon;color;costs;lat;lng;priority
03S07;Schule an der Heide;Hermann-Hesse-Str. 48-52;13156;"Förderschwerp.""Lernen""";fa-building-o;blue;1090000;52.578097;13.394472;unbekannte Priorität
03G12;Paul-Lincke-Grundschule;Pieskower Weg 39;10409;Grundschule;fa-building-o;blue;1350000;52.54129;13.44553;unbekannte Priorität
02K07;Georg-Weerth-Schule;Eckertstr. 16;10249;Integrierte Sekundarschule;fa-building-o;blue;4850000;52.518996;13.450401;unbekannte Priorität
08G05;Elbe-Schule (Grundschule);Elbestr. 11;12045;Grundschule;fa-building-o;green;0;52.48442;13.44062;unbekannte Priorität
08G09;Regenbogen-Schule (Grundschule);Morusstr. 32;12053;Grundschule;fa-building-o;orange;5360000;52.47578;13.43333;Priorität 2 oder 3
07S04;Marianne-Cohn-Schule;Holzmannstr. 7;12099;"Förderschwerp.""Geistige Entwicklung""";fa-building-o;orange;5770000;52.46433;13.41815;Höchste Priorität
03Y17;17. Schule (Gymnasium);Conrad-Blenkle-Str. 34;10407;Gymnasium;fa-building-o;green;0;52.534329;13.447008;unbekannte Priorität
07G20;Maria-Montessori-Grundschule;Friedrich-Wilhelm-Str. 72-74;12103;Grundschule;fa-building-o;blue;4870000;52.45817;13.38069;unbekannte Priorität
03G01;Schule am Hamburger Platz (Grundschule);Gustav-Adolf-Str. 21;13086;Grundschule;fa-building-o;blue;3470000;52.55381;13.43681;unbekannte Priorität
01G18;Carl-Bolle-Grundschule;Waldenserstr. 20-21;10551;Grundschule;fa-building-o;orange;9950000;52.528894;13.331807;Höchste Priorität
01K08;Schule am Schillerpark (Integrierte Sekundarschule);Ofener Str. 6;13349;Integrierte Sekundarschule;fa-building-o;orange;9960000;52.55628;13.3457;Höchste Priorität
02S01;Schule am Friedrichshain;Lasdehner Str. 19;10243;Integrierte Sekundarschule;fa-building-o;blue;1190000;52.51449;13.4491;unbekannte Priorität
02G07;Ludwig-Hoffmann-Grundschule;Lasdehner Str. 21-23;10243;Grundschule;fa-building-o;blue;1710000;52.514357;13.448886;unbekannte Priorität
02G23;Fichtelgebirge-Grundschule;Görlitzer Ufer 2;10997;Grundschule;fa-building-o;orange;6580000;52.49575;13.44495;Höchste Priorität
01G47;Miriam-Makeba-Grundschule;Zinzendorfstr. 15-16;10555;Grundschule;fa-building-o;orange;7250000;52.52232;13.331446;Höchste Priorität
01G42;Anna-Lindh-Schule (Grundschule);Guineastr. 17-18;13351;Grundschule;fa-building-o;red;10860000;52.550375;13.341886;Priorität 2 oder 3
12Y02;Europäisches Gymnasium Bertha-von-Suttner;Reginhardstr. 172;13409;Gymnasium;fa-building-o;red;10740000;52.57145;13.36873;Priorität 2 oder 3
08K10;Zuckmayer-Schule;Kopfstr. 55;12053;Integrierte Sekundarschule;fa-building-o;orange;8710000;52.4761;13.43129;Priorität 2 oder 3
12K05;Gustav-Freytag-Schule (Integrierte Sekundarschule);Breitkopfstr. 66-80;13409;Integrierte Sekundarschule;fa-building-o;orange;7980000;52.56976;13.36575;Höchste Priorität
07Y06;Askanisches Gymnasium;Kaiserin-Augusta-Str. 19-20;12103;Gymnasium;fa-building-o;red;12850000;52.45992;13.37992;Höchste Priorität
08Y04;Ernst-Abbe-Gymnasium;Sonnenallee 79;12045;Gymnasium;fa-building-o;blue;680000;52.48349;13.43711;unbekannte Priorität
03Y10;Rosa-Luxemburg-Gymnasium;Kissingenstr. 12;13189;Gymnasium;fa-building-o;green;0;52.56669;13.41948;unbekannte Priorität
03K07;Tesla-Schule (Gemeinschaftsschule);Rudi-Arndt-Str. 18;10407;Integrierte Sekundarschule;fa-building-o;orange;9900000;52.529086;13.446061;Höchste Priorität
03G39;Grundschule Wolkenstein;Neumannstr. 65;13189;Grundschule;fa-building-o;blue;2010000;52.56527;13.42024;unbekannte Priorität
12G02;Grundschule am Schäfersee;Baseler Str. 2-6;13407;Grundschule;fa-building-o;orange;6650000;52.5622;13.3554;Priorität 2 oder 3
01A04;Berlin-Kolleg;Turmstr. 75;10551;Berlin-Kolleg;fa-building-o;orange;6710000;52.526574;13.334076;Priorität 2 oder 3
02Y05;Dathe-Gymnasium;Helsingforser Str. 11-13;10243;Gymnasium;fa-building-o;orange;6000000;52.510001;13.445399;Priorität 2 oder 3
07G19;Paul-Simmel-Grundschule;Felixstr. 26-58;12099;Grundschule;fa-building-o;orange;7990000;52.46137;13.3926;Höchste Priorität
03G27;Elizabeth-Shaw-Grundschule;Grunowstr. 17;13187;Grundschule;fa-building-o;blue;3040000;52.56831;13.41044;unbekannte Priorität
08G07;Hermann-Boddin-Schule (Grundschule);Boddinstr. 55;12053;Grundschule;fa-building-o;orange;7800000;52.480416;13.431252;Priorität 2 oder 3
12G06;Hausotter-Grundschule;Hausotterplatz 4;13409;Grundschule;fa-building-o;blue;4660000;52.56963;13.375634;unbekannte Priorität
07G14;Löcknitz-Grundschule;Berchtesgadener Str. 10-11;10779;Grundschule;fa-building-o;blue;3530000;52.489558;13.343356;unbekannte Priorität
08K08;Gemeinschaftsschule auf dem Campus Rütli;Rütlistr. 41;12045;Integrierte Sekundarschule;fa-building-o;red;13070000;52.487309;13.434226;Priorität 2 oder 3
03K06;Reinhold-Burger-Schule;Neue Schönholzer Str. 32;13187;Integrierte Sekundarschule;fa-building-o;blue;2010000;52.56838;13.40303;unbekannte Priorität
03G06;Bötzow-Grundschule;John-Schehr-Str. 38;10407;Grundschule;fa-building-o;blue;1390000;52.535104;13.439793;unbekannte Priorität
03K02;Kurt-Tucholsky-Schule (Integrierte Sekundarschule);Neumannstr. 9-11;13189;Integrierte Sekundarschule;fa-building-o;blue;3030000;52.55812;13.42333;unbekannte Priorität
08G06;Karl-Weise-Schule (Grundschule);Weisestr. 20;12049;Grundschule;fa-building-o;blue;3670000;52.476503;13.423961;unbekannte Priorität
08G01;Rixdorfer Schule;Donaustr. 120;12043;Grundschule;fa-building-o;orange;7150000;52.484904;13.431792;Priorität 2 oder 3
07K06;Georg-von-Giesche-Schule;Hohenstaufenstr. 47-48;10779;Integrierte Sekundarschule;fa-building-o;orange;9720000;52.494144;13.342529;Höchste Priorität
03G26;Arnold-Zweig-Grundschule;Wollankstr. 131;13187;Grundschule;fa-building-o;blue;340000;52.56868;13.40012;unbekannte Priorität
07K13;Schule am Berlinickeplatz (Integrierte Sekundarschule);Alt-Tempelhof 53-57;12103;Integrierte Sekundarschule;fa-building-o;red;10300000;52.465657;13.379583;Priorität 2 oder 3
07G12;Scharmützelsee-Grundschule;Hohenstaufenstr. 49;10779;Grundschule;fa-building-o;orange;6940000;52.494177;13.343268;Priorität 2 oder 3
03Y13;Felix-Mendelssohn-Bartholdy-Gymnasium;Eugen-Schönhaar-Str. 18;10407;Gymnasium;fa-building-o;green;0;52.537087;13.437857;unbekannte Priorität
01G24;Gottfried-Röhl-Grundschule;Ungarnstr. 75;13349;Grundschule;fa-building-o;orange;7110000;52.55719;13.35717;Priorität 2 oder 3
01K02;Ernst-Schering-Schule;Lütticher Str. 47-48;13353;Integrierte Sekundarschule;fa-building-o;red;11020000;52.54701;13.34782;Priorität 2 oder 3
07Y05;Luise-Henriette-Gymnasium;Germaniastr. 4-6;12099;Gymnasium;fa-building-o;green;0;52.46546;13.39059;unbekannte Priorität
07G02;Finow-Grundschule;Welserstr. 16-22;10777;Grundschule;fa-building-o;orange;5750000;52.49823;13.34251;Priorität 2 oder 3
01Y12;Gymnasium Tiergarten;Altonaer Str. 26;10555;Gymnasium;fa-building-o;blue;280000;52.51935;13.3394;unbekannte Priorität
03Y08;Carl-von-Ossietzky-Gymnasium;Görschstr. 42-44;13187;Gymnasium;fa-building-o;blue;520000;52.566429;13.40007;unbekannte Priorität
03G41;Trelleborg-Schule (Grundschule);Eschengraben 40;13189;Grundschule;fa-building-o;orange;5660000;52.556012;13.421818;Priorität 2 oder 3
12G03;Reginhard-Grundschule;Letteallee 39-41;13409;Grundschule;fa-building-o;blue;2850000;52.563219;13.370292;unbekannte Priorität
07K09;Gustav-Langenscheidt-Schule;Belziger Str. 43-51;10823;Integrierte Sekundarschule;fa-building-o;red;12540000;52.485997;13.350718;Höchste Priorität
01G19;Hansa-Grundschule;Lessingstr. 5;10555;Grundschule;fa-building-o;blue;1480000;52.5214;13.34019;unbekannte Priorität
01S05;Schule in der Charité;Augustenburger Platz 1;13353;Übrige Förderschwerpunkte;fa-building-o;green;0;52.542216;13.347104;unbekannte Priorität
03K09;Janusz-Korczak-Schule (Integrierte Sekundarschule);Dolomitenstr. 94;13187;Integrierte Sekundarschule;fa-building-o;blue;3820000;52.562908;13.407559;unbekannte Priorität
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);Skalitzer Str. 55;10997;Integrierte Sekundarschule;fa-building-o;red;12150000;52.49962;13.43555;Höchste Priorität
01G36;Andersen-Grundschule;Kattegatstr. 26;13359;Grundschule;fa-building-o;blue;3790000;52.56553;13.38891;unbekannte Priorität
08Y02;Albert-Schweitzer-Gymnasium;Karl-Marx-Str. 14;12043;Gymnasium;fa-building-o;orange;9830000;52.4852;13.42649;Priorität 2 oder 3
03G08;Grundschule am Planetarium;Ella-Kay-Str. 47;10405;Grundschule;fa-building-o;orange;5430000;52.54145;13.43118;Priorität 2 oder 3
08G02;Theodor-Storm-Schule (Grundschule);Hobrechtstr. 76;12043;Grundschule;fa-building-o;orange;5560000;52.486488;13.426763;Priorität 2 oder 3
08G08;Karlsgarten-Schule (Grundschule);Karlsgartenstr. 7;12049;Grundschule;fa-building-o;orange;8820000;52.482099;13.422505;Priorität 2 oder 3
07G03;Werbellinsee-Grundschule;Luitpoldstr. 38;10781;Grundschule;fa-building-o;blue;1920000;52.495036;13.348236;unbekannte Priorität
07G18;Grundschule am Barbarossaplatz;Barbarossaplatz 5;10781;Grundschule;fa-building-o;orange;6020000;52.49235;13.34978;Höchste Priorität
07G10;Teltow-Grundschule;Feurigstr. 57;10827;Grundschule;fa-building-o;orange;8360000;52.484327;13.356154;Höchste Priorität
02K01;Ellen-Key-Schule;Rüdersdorfer Str. 20-28;10243;Integrierte Sekundarschule;fa-building-o;orange;6230000;52.5152;13.43689;Priorität 2 oder 3
03K11;Wilhelm-von-Humboldt-Schule (Gemeinschaftsschule);Erich-Weinert-Str. 70;10439;Integrierte Sekundarschule;fa-building-o;blue;2010000;52.54845;13.42476;unbekannte Priorität
01G41;Erika-Mann-Grundschule;Utrechter Str. 25-27;13347;Grundschule;fa-building-o;orange;5520000;52.55099;13.35786;Priorität 2 oder 3
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);Stephanstr. 27;10559;Integrierte Sekundarschule;fa-building-o;orange;6550000;52.53367;13.34651;Priorität 2 oder 3
03G25;Carl-Humann-Grundschule;Scherenbergstr. 7;10439;Grundschule;fa-building-o;blue;1440000;52.55101;13.42173;unbekannte Priorität
03G37;Klecks-Grundschule;Brixener Str. 40;13187;Grundschule;fa-building-o;blue;490000;52.55989;13.40756;unbekannte Priorität
02G01;Spartacus-Grundschule;Friedenstr. 40-45;10249;Grundschule;fa-building-o;blue;830000;52.52106;13.43582;unbekannte Priorität
02G35;Rosa-Parks-Grundschule;Reichenberger Str. 65;10999;Grundschule;fa-building-o;red;13200000;52.495472;13.43052;Priorität 2 oder 3
03G05;Homer-Grundschule;Pasteurstr. 10-12;10407;Grundschule;fa-building-o;blue;3780000;52.53371;13.43237;unbekannte Priorität
03Y04;Heinrich-Schliemann-Gymnasium;Dunckerstr. 64;10439;Gymnasium;fa-building-o;orange;5300000;52.54663;13.42365;Priorität 2 oder 3
02Y01;Andreas-Oberschule;Koppenstr. 76;10243;Gymnasium;fa-building-o;orange;7280000;52.514039;13.434606;Priorität 2 oder 3
02S03;Margarethe-von-Witzleben-Schule;Palisadenstr. 76-77;10243;Übrige Förderschwerpunkte;fa-building-o;blue;3840000;52.51984;13.4346;unbekannte Priorität
01G32;Carl-Kraemer-Grundschule;Zechliner Str. 4;13359;Grundschule;fa-building-o;orange;7760000;52.56107;13.38284;Höchste Priorität
03Y03;Käthe-Kollwitz-Gymnasium;Dunckerstr. 65-66;10439;Gymnasium;fa-building-o;blue;4700000;52.5458;13.42271;unbekannte Priorität
03G14;Bornholmer Grundschule;Ibsenstr. 17;10439;Grundschule;fa-building-o;orange;9620000;52.55572;13.40768;Höchste Priorität
02G29;Heinrich-Zille-Grundschule;Waldemarstr. 118;10997;Grundschule;fa-building-o;blue;4040000;52.500729;13.429182;unbekannte Priorität
02G36;36. Schule (Grundschule);Andreasstr. 50;10243;Übrige Förderschwerpunkte;fa-building-o;blue;2960000;52.51663;13.43215;unbekannte Priorität
02G27;Hunsrück-Grundschule;Manteuffelstr. 79;10999;Grundschule;fa-building-o;orange;6650000;52.497732;13.426632;Priorität 2 oder 3
07K01;Sophie-Scholl-Schule;Elßholzstr. 34-37;10781;Integrierte Sekundarschule;fa-building-o;red;16340000;52.492808;13.356583;Priorität 2 oder 3
01G29;Wilhelm-Hauff-Grundschule;Gotenburger Str. 8;13359;Grundschule;fa-building-o;blue;1630000;52.557813;13.384347;unbekannte Priorität
07Y01;Robert-Blum-Gymnasium;Kolonnenstr. 21;10829;Gymnasium;fa-building-o;orange;7560000;52.48483;13.36487;Priorität 2 oder 3
07G24;Tempelherren-Grundschule;Boelckestr. 58-60;12101;Grundschule;fa-building-o;red;11680000;52.478603;13.37647;Höchste Priorität
03K01;Kurt-Schwitters-Schule;Greifswalder Str. 25;10405;Integrierte Sekundarschule;fa-building-o;blue;3560000;52.5314;13.42807;unbekannte Priorität
03G46;Grundschule im Eliashof;Senefelderstr. 6;10437;Grundschule;fa-building-o;blue;1140000;52.540786;13.422734;unbekannte Priorität
03G04;Grundschule an der Marie;Christburger Str. 7;10405;Grundschule;fa-building-o;blue;3580000;52.536148;13.42559;unbekannte Priorität
01G28;Brüder-Grimm-Grundschule;Tegeler Str. 18-19;13353;Grundschule;fa-building-o;blue;2880000;52.54146;13.35783;unbekannte Priorität
01G31;Wedding-Grundschule;Antonstr. 10;13347;Grundschule;fa-building-o;orange;6040000;52.546206;13.362468;Priorität 2 oder 3
01K10;Theodor-Heuss-Schule (Gemeinschaftsschule);Quitzowstr. 141;10559;Integrierte Sekundarschule;fa-building-o;red;10930000;52.535722;13.354875;Priorität 2 oder 3
01G45;Leo-Lionni-Grundschule;Müllerstr. 158;13353;Grundschule;fa-building-o;orange;9530000;52.544342;13.361352;Höchste Priorität
07G01;Spreewald-Grundschule;Pallasstr. 15;10781;Grundschule;fa-building-o;orange;8500000;52.49539;13.35693;Höchste Priorität
01G11;Kurt-Tucholsky-Grundschule;Rathenower Str. 18;10559;Grundschule;fa-building-o;orange;5810000;52.53026;13.35303;Priorität 2 oder 3
07G05;Havelland-Grundschule;Kolonnenstr. 30;10829;Grundschule;fa-building-o;blue;2910000;52.484772;13.367681;unbekannte Priorität
03G09;Thomas-Mann-Grundschule;Greifenhagener Str. 58-59;10437;Grundschule;fa-building-o;blue;1850000;52.54663;13.41479;unbekannte Priorität
02G18;Nürtingen-Grundschule;Mariannenplatz 28;10997;Grundschule;fa-building-o;red;13480000;52.505469;13.426859;Höchste Priorität
02Y08;Hermann-Hesse-Oberschule;Böckhstr. 16;10967;Gymnasium;fa-building-o;red;10030000;52.493579;13.419151;Höchste Priorität
01Y07;Französisches Gymnasium;Derfflingerstr. 7;10785;Gymnasium;fa-building-o;orange;6130000;52.50318;13.35549;Priorität 2 oder 3
07G21;Grundschule auf dem Tempelhofer Feld;Schulenburgring 7-11;12101;Grundschule;fa-building-o;orange;5380000;52.48081;13.38185;Priorität 2 oder 3
01G27;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Grundschule;fa-building-o;orange;5270000;52.55338;13.38292;Priorität 2 oder 3
02K05;Schule am Königstor (Integrierte Sekundarschule);Weinstr. 3;10249;Integrierte Sekundarschule;fa-building-o;blue;200000;52.525666;13.425987;unbekannte Priorität
03G45;Grundschule im Hofgarten;Danziger Str. 50;10435;Grundschule;fa-building-o;blue;680000;52.53921;13.41918;unbekannte Priorität
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);Graefestr. 85-88;10967;Integrierte Sekundarschule;fa-building-o;orange;5000000;52.494205;13.418709;Priorität 2 oder 3
07G13;Neumark-Grundschule;Steinmetzstr. 46-50;10783;Grundschule;fa-building-o;orange;6420000;52.49282;13.36249;Höchste Priorität
01G43;Albert-Gutzmann-Schule (Grundschule);Orthstr. 1;13357;Grundschule;fa-building-o;orange;7440000;52.549234;13.373261;Priorität 2 oder 3
01S06;Albert-Gutzmann-Schule;Orthstr. 1;13357;Integrierte Sekundarschule;fa-building-o;green;0;52.549234;13.373261;Höchste Priorität
03G02;Heinrich-Roller-Grundschule;Heinrich-Roller-Str. 18;10405;Grundschule;fa-building-o;orange;7620000;52.53064;13.42364;Höchste Priorität
02Y07;Robert-Koch-Gymnasium;Dieffenbachstr. 60;10967;Gymnasium;fa-building-o;orange;6680000;52.49323;13.41596;Priorität 2 oder 3
01G25;Rudolf-Wissell-Grundschule;Ellerbeker Str. 7-8;13357;Grundschule;fa-building-o;orange;7270000;52.55158;13.39611;Höchste Priorität
01Y09;Diesterweg-Schule (Gymnasium);Böttgerstr. 2-6;13357;Gymnasium;fa-building-o;blue;1080000;52.550012;13.378338;unbekannte Priorität
02G26;Lemgo-Grundschule;Böckhstr. 5;10967;Grundschule;fa-building-o;orange;6020000;52.494198;13.416454;Priorität 2 oder 3
01G15;Anne-Frank-Grundschule;Paulstr. 20B;10557;Grundschule;fa-building-o;blue;2120000;52.51827;13.35527;unbekannte Priorität
01K01;Willy-Brandt-Schule;Grüntaler Str. 5;13357;Integrierte Sekundarschule;fa-building-o;orange;5280000;52.55101;13.386048;unbekannte Priorität
03G11;Schule am Falkplatz (Grundschule);Gleimstr. 49;10437;Grundschule;fa-building-o;orange;7880000;52.54749;13.40538;Höchste Priorität
01G07;GutsMuths-Grundschule;Singerstr. 8;10179;Grundschule;fa-building-o;blue;4250000;52.516365;13.42412;unbekannte Priorität
01Y11;Max-Planck-Schule (Gymnasium);Singerstr. 8A;10179;Gymnasium;fa-building-o;blue;1560000;52.516365;13.42412;unbekannte Priorität
01G16;Moabiter Grundschule;Paulstr. 28;10557;Grundschule;fa-building-o;orange;7560000;52.521974;13.35657;Priorität 2 oder 3
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);Pankstr. 18-19;13357;Integrierte Sekundarschule;fa-building-o;blue;820000;52.546324;13.373398;unbekannte Priorität
01S07;Charlotte-Pfeffer-Schule;Berolinastr. 8;10178;"Förderschwerp.""Geistige Entwicklung""";fa-building-o;green;0;52.52226;13.42328;unbekannte Priorität
02S02;Gustav-Meyer-Schule;Kohlfurter Str. 22;10999;"Förderschwerp.""Geistige Entwicklung""";fa-building-o;orange;9190000;52.497102;13.416721;Höchste Priorität
02G22;Jens-Nydahl-Grundschule;Kohlfurter Str. 20;10999;Grundschule;fa-building-o;orange;8080000;52.497294;13.41619;Höchste Priorität
03G03;Grundschule am Kollwitzplatz;Knaackstr. 67;10435;Grundschule;fa-building-o;blue;1880000;52.53768;13.41489;unbekannte Priorität
03S03;Helene-Haeusler-Schule;Mendelssohnstr. 10;10405;"Förderschwerp.""Geistige Entwicklung""";fa-building-o;blue;2300000;52.5267;13.42002;unbekannte Priorität
01S01;Schule am Zille-Park;Ravenéstr. 10-12;13347;Integrierte Sekundarschule;fa-building-o;orange;5420000;52.542859;13.372782;Priorität 2 oder 3
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);Bergmannstr. 64;10961;Integrierte Sekundarschule;fa-building-o;orange;5920000;52.488798;13.40149;Höchste Priorität
01G37;Heinrich-Seidel-Grundschule;Ramlerstr. 9-10;13355;Grundschule;fa-building-o;orange;8940000;52.54695;13.39407;Höchste Priorität
01G44;Allegro-Grundschule;Lützowstr. 83-85;10785;Grundschule;fa-building-o;blue;3900000;52.503571;13.363001;unbekannte Priorität
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);Blücherstr. 46;10961;Integrierte Sekundarschule;fa-building-o;orange;6460000;52.491647;13.404491;Höchste Priorität
02G33;Aziz-Nesin-Grundschule;Urbanstr. 15;10961;Grundschule;fa-building-o;blue;4510000;52.49312;13.40611;unbekannte Priorität
02Y06;Leibniz-Gymnasium;Schleiermacherstr. 23;10961;Gymnasium;fa-building-o;orange;6880000;52.48978;13.39747;Höchste Priorität
02G21;Reinhardswald-Grundschule;Gneisenaustr. 73-74;10961;Grundschule;fa-building-o;orange;9380000;52.49059;13.3999;Höchste Priorität
03S01;Schule am Senefelderplatz;Schönhauser Allee 165;10435;"Förderschwerp.""Lernen""";fa-building-o;blue;3080000;52.53452;13.41187;unbekannte Priorität
01G35;Humboldthain-Grundschule;Grenzstr. 7;13355;Grundschule;fa-building-o;orange;5150000;52.54323;13.380143;Priorität 2 oder 3
02G13;Charlotte-Salomon-Grundschule;Großbeerenstr. 40;10965;Grundschule;fa-building-o;blue;4510000;52.49041;13.38183;unbekannte Priorität
02G31;Adolf-Glaßbrenner-Grundschule;Hagelberger Str. 34;10965;Grundschule;fa-building-o;blue;3570000;52.49085;13.38065;unbekannte Priorität
02G20;Bürgermeister-Herz-Grundschule;Wilmsstr. 10;10961;Grundschule;fa-building-o;blue;3380000;52.49488;13.40516;unbekannte Priorität
01G39;Vineta-Grundschule;Demminer Str. 27;13355;Grundschule;fa-building-o;blue;2150000;52.54222;13.3969;unbekannte Priorität
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);Gneisenaustr. 7;10961;Integrierte Sekundarschule;fa-building-o;red;10910000;52.49178;13.38971;Höchste Priorität
03G16;Grundschule am Teutoburger Platz;Templiner Str. 1-3;10119;Grundschule;fa-building-o;blue;80000;52.533635;13.408651;unbekannte Priorität
02G16;Lenau-Grundschule;Nostitzstr. 60;10961;Grundschule;fa-building-o;red;11630000;52.49381;13.39154;Höchste Priorität
01G01;Grundschule am Arkonaplatz;Ruppiner Str. 47-48;10115;Grundschule;fa-building-o;blue;2450000;52.53684;13.40039;unbekannte Priorität
01K03;Ernst-Reuter-Schule;Stralsunder Str. 57;13355;Integrierte Sekundarschule;fa-building-o;red;16740000;52.538896;13.394373;Höchste Priorität
01G10;City-Grundschule;Sebastianstr. 57;10179;Grundschule;fa-building-o;blue;90000;52.50737;13.40892;unbekannte Priorität
01G38;Gustav-Falke-Grundschule;Strelitzer Str. 42;13355;Grundschule;fa-building-o;blue;4260000;52.53795;13.39162;unbekannte Priorität
02G24;Otto-Wels-Grundschule;Alexandrinenstr. 12;10969;Grundschule;fa-building-o;orange;6240000;52.499923;13.401623;Höchste Priorität
01Y02;John-Lennon-Gymnasium;Zehdenicker Str. 17;10119;Gymnasium;fa-building-o;blue;4950000;52.530923;13.404105;unbekannte Priorität
02K03;Hector-Peterson-Schule;Tempelhofer Ufer 15;10963;Integrierte Sekundarschule;fa-building-o;red;10060000;52.49832;13.3841;Priorität 2 oder 3
02G32;Clara-Grunwald-Grundschule;Hallesche Str. 24;10963;Grundschule;fa-building-o;blue;3580000;52.50077;13.38313;unbekannte Priorität
02G19;Fanny-Hensel-Grundschule;Schöneberger Str. 23;10963;Grundschule;fa-building-o;blue;2180000;52.50303;13.38014;unbekannte Priorität
01G02;Papageno-Grundschule;Bergstr. 58;10115;Grundschule;fa-building-o;blue;2080000;52.532833;13.391048;unbekannte Priorität
01G04;Kastanienbaum-Grundschule;Gipsstr. 23A;10119;Grundschule;fa-building-o;orange;5360000;52.52678;13.4018;Priorität 2 oder 3
02G14;Galilei-Grundschule;Friedrichstr. 13;10969;Grundschule;fa-building-o;blue;4850000;52.501885;13.391531;unbekannte Priorität
02S06;Liebmann-Schule;Friedrichstr. 13;10969;Übrige Förderschwerpunkte;fa-building-o;green;0;52.501885;13.391531;unbekannte Priorität
01G05;Grundschule Neues Tor;Hannoversche Str. 20;10115;Grundschule;fa-building-o;blue;4100000;52.52759;13.38033;unbekannte Priorität
01K07;Hemingway-Schule;Gartenstr. 10-17;10115;Integrierte Sekundarschule;fa-building-o;blue;2880000;52.530483;13.391682;unbekannte Priorität
01G46;Grundschule am Koppenplatz;Koppenplatz 12;10115;Grundschule;fa-building-o;orange;5280000;52.52778;13.39745;Priorität 2 oder 3
02G12;Kurt-Schumacher-Grundschule;Puttkamerstr. 19;10969;Grundschule;fa-building-o;orange;9640000;52.504384;13.388493;Höchste Priorität
01G08;Grundschule am Brandenburger Tor;Wilhelmstr. 52;10117;Grundschule;fa-building-o;orange;5230000;52.51318;13.38276;Priorität 2 oder 3